env,method,n_seeds,return_iqm,return_lo,return_hi,cost_iqm,cost_lo,cost_hi,violation,sigma_c2,sigma_r2,sigma_c2_uniform,sigma_c2_qstar,xi_mean,xi_ess,ess_frac,eval_points
SafetyAntVelocity-v1,crpo_safety_per,7,-2121.105347683304,-2922.2364420761915,-687.6616691857841,0.26666666666666666,0.03333333333333333,0.7666666666666666,0.0,110.40559632579433,5214.851149973981,59.23544007652629,9.488388928810904,0.7782229738576072,0.4421686816162297,nan,16
SafetyAntVelocity-v1,crpo_td_per,7,-1607.7936051810611,-2612.0960489833315,-554.4606746342604,0.2333333333333333,0.0,0.6000000000000001,0.0,62.494730838535425,7139.746152418091,22.675933847210022,4.3034808267906905,0.7343093822044986,0.4287422973928707,nan,16
SafetyAntVelocity-v1,crpo_uncertainty_per,7,-1157.659368402921,-2284.168870077019,-349.82732129621854,0.2666666666666667,0.0,1.2333333333333334,0.0,18.303902929098083,2337.195422431919,11.975588458446154,0.4661619308881618,0.7319402298224824,0.43593355773815085,nan,16
SafetyAntVelocity-v1,crpo_uniform,7,-1319.3530809484798,-2338.898199294951,-320.87133882858353,0.13333333333333333,0.0,0.4666666666666667,0.0,18336.020677751843,24975091.69676971,18336.020677751843,1258.3429546207885,0.7790178337267467,0.4480301983920591,nan,16
SafetyAntVelocity-v1,crpo_vosr,7,-1740.896822849351,-2404.291076817463,-954.9592225149369,0.3333333333333333,0.0,0.7,0.0,58.263563984711006,38418.888661563644,69.85189644311752,20.54029004608704,0.9159549637032407,0.4962107843852469,0.5078122918525415,16
SafetyAntVelocity-v1,pcrpo_safety_per,7,-1850.1948707651518,-2581.75122522523,-931.0692323711626,0.3333333333333333,0.0,0.8666666666666666,0.0,30.150501865202322,237794.42027745623,14.675931869044176,4.282457578209805,0.7503725117338556,0.4401733744889498,nan,16
SafetyAntVelocity-v1,pcrpo_td_per,7,-1191.6108689922955,-2402.571540546647,-72.45995363038782,0.8,0.19916666666666671,2.5,0.0,44.03526992935952,217652.8907018523,16.225454226054417,2.7943658137639957,0.7979136553726026,0.4413412068305271,nan,16
SafetyAntVelocity-v1,pcrpo_uncertainty_per,7,-434.9784835878754,-1518.9400456000778,-135.1663312350374,0.4,0.1,0.8666666666666666,0.0,36.29322928877643,22487.436710296293,25.882402142387896,7.6816314096708,0.7261368400816407,0.39560865025435177,nan,16
SafetyAntVelocity-v1,pcrpo_uniform,7,-2103.0984748936753,-2682.4181597338375,-1058.648686868371,0.4333333333333333,0.1,1.1333333333333333,0.0,25.721098940215487,23370.089300784883,25.721098940215487,1.6131716353690775,0.8365455189985889,0.46093667750912054,nan,16
SafetyAntVelocity-v1,pcrpo_vosr,7,-1570.6588018982359,-2395.01198416246,-646.4032646878143,0.1,0.03333333333333333,0.4333333333333334,0.0,568.7043539322094,406516.9203523201,568.9639567908591,157.6500323315965,0.7922085936048201,0.43936893516885384,0.5252462462911563,16
SafetyAntVelocity-v1,sac_lag_safety_per,7,-510.212608854573,-1566.8902253728209,-31.38799165013777,0.6666666666666667,0.2333333333333333,1.4333333333333331,0.0,3150.6199867855835,12646688.755322214,1256.0490620779933,372.2624586595245,0.7144904926951442,0.38615500793925356,nan,16
SafetyAntVelocity-v1,sac_lag_td_per,7,-2076.6866690833094,-2996.4986022417584,-854.0916929300449,0.1,0.0,0.9,0.0,8.697847027642934,3670.181119578003,4.801672960881204,1.7990670304968603,0.8003321960568428,0.4249755015064563,nan,16
SafetyAntVelocity-v1,sac_lag_uncertainty_per,7,-873.0657349553733,-2260.1335687858855,-43.18995774545745,0.7666666666666666,0.2,1.4999999999999998,0.0,41.91250487440589,19323.221956768368,30.396411186186214,12.511640435735087,0.8501884293343339,0.4609685725133334,nan,16
SafetyAntVelocity-v1,sac_lag_uniform,7,-2565.0256819405577,-2982.3837700444296,-1843.7240715697062,0.1,0.0,0.3,0.0,2.1342029810924665,2213.165119456053,2.1342029810924665,0.7424835994837783,0.7947954580719981,0.4369303505601628,nan,16
SafetyAntVelocity-v1,sac_lag_vosr,7,-1979.597945816217,-2901.9174791527757,-883.703615570781,0.1,0.0,1.3666666666666667,0.0,827.0054847036696,198726.4421913416,1444.4306951607612,195.72221748507008,0.7174307344747441,0.4146928172558546,0.49920530327595547,16
SafetyCarButton1-v0,crpo_safety_per,7,-0.04458301290025209,-0.2275061224534142,0.2483804573983094,56.15,22.7,95.89749999999974,0.5164835164835164,229.0853455210118,3.7397232362251103,117.56918554207553,34.613517882159144,0.9086680222343613,0.4559519562747453,nan,13
SafetyCarButton1-v0,crpo_td_per,7,0.14566293206400477,-3.654112047639962,0.6666744876286077,68.05,14.6,315.2,0.6043956043956044,54.2042969217398,0.4586604089829939,37.95769066545705,11.178312439227684,0.9485210481580797,0.4703746349601955,nan,13
SafetyCarButton1-v0,crpo_uncertainty_per,7,-0.39725955224034115,-3.6398809812760917,0.1428236303355339,186.6,128.3475,247.6025,0.7032967032967032,417.7644252534697,8.721375984610868,346.0104567847192,92.01099172072328,0.9111489817336366,0.46900100793157307,nan,13
SafetyCarButton1-v0,crpo_uniform,7,-0.295125047872019,-1.9099065399515165,0.4630696556931687,55.8,18.4,171.1,0.42857142857142866,171.13562140456096,3.509843468291539,171.13562140456096,29.44531592233245,0.9271299675270752,0.4713074191586002,nan,13
SafetyCarButton1-v0,crpo_vosr,7,-0.32618470153660795,-3.6953277875766863,-0.1858626300517533,33.8,16.5,56.15874999999995,0.5164835164835165,4.971564237085166,0.4248822013527086,14.5953183994711,3.4462882817590494,0.8247000725714715,0.4089896120540389,0.5494729955927018,13
SafetyCarButton1-v0,pcrpo_safety_per,7,-0.11119602248703613,-0.3373967942231858,0.08707501991806536,28.05,13.05,112.5,0.47252747252747257,78.278545634841,12.85943082755089,49.480255437478135,16.215349345246448,0.9142273494175502,0.457975433750467,nan,13
SafetyCarButton1-v0,pcrpo_td_per,7,-2.5172188145509233,-6.383701979422512,0.058117011801126106,73.6,40.05,111.95,0.7032967032967034,277.6372452083083,8.568187253187071,201.76191094354195,68.4024006835431,0.8979371524119115,0.44983923009463717,nan,13
SafetyCarButton1-v0,pcrpo_uncertainty_per,7,-3.8795654461309765,-7.948080730487796,-0.28864957521065054,99.6,44.182500000000005,224.5,0.5934065934065934,91.99668155203649,3.377311542853321,74.54057841501981,23.046989508729173,0.9216224950748486,0.4813192858473286,nan,13
SafetyCarButton1-v0,pcrpo_uniform,7,-0.11431030761031383,-0.5715426994448245,0.4962398788172331,72.1,36.25,113.0,0.6263736263736265,218.0506049458732,3.2459908430901097,218.0506049458732,60.84458932963583,0.9400063543529301,0.4797918062943678,nan,13
SafetyCarButton1-v0,pcrpo_vosr,7,-1.3626546369373231,-3.251003066057536,0.561431270691655,42.85,22.4,72.85,0.5274725274725275,303.489584074962,4.573214763748792,716.2990791710879,252.39784094001223,0.8233212746761657,0.41458088765432544,0.5183250557147769,13
SafetyCarButton1-v0,sac_lag_safety_per,7,-0.634278121431542,-8.26749552334411,0.06743179371517827,62.8,6.25,185.9,0.6373626373626374,2713.2364373085625,23.16427920582198,1516.4897726784334,441.1204397157348,0.9157579233358193,0.4567880491306494,nan,13
SafetyCarButton1-v0,sac_lag_td_per,7,-2.784808643558377,-7.7050530624460665,0.0360154097405496,62.0,24.098750000000003,115.61374999999992,0.7142857142857143,102.62221880046097,8.248112002445206,75.29421723792618,21.934967722200188,0.9121868459732979,0.44789823234736265,nan,13
SafetyCarButton1-v0,sac_lag_uncertainty_per,7,-4.419308563695578,-13.101354189526782,-0.0377666877401489,21.05,6.0,56.4,0.49450549450549447,2201.293793649706,11.377858464255665,1723.8653462548994,429.30554911588666,0.9437768452770108,0.47966887662698937,nan,13
SafetyCarButton1-v0,sac_lag_uniform,7,-0.27358299040040485,-4.832624109186694,0.3607532520687946,112.1,45.6,203.1,0.6153846153846155,465.06947752935383,5.70138094848174,465.06947752935383,120.74638982825972,0.9284899503320128,0.45856779977515505,nan,13
SafetyCarButton1-v0,sac_lag_vosr,7,0.12494936207540012,-3.171218016612353,0.9751212353281933,39.75,6.75,134.8562499999997,0.5384615384615385,57.88596402787504,6.672065628852456,140.75209725904924,33.471272988847325,0.8481319936422201,0.4201185889951475,0.521677410538189,13
SafetyCarGoal1-v0,crpo_safety_per,7,0.6326626600248911,-2.887515595377126,1.6956489983319813,12.25,1.5900000000000007,71.75,0.4175824175824176,83.86571541459115,3.3114627974918447,46.78252003203505,12.708434139754615,0.920545559663039,0.47357439208816693,nan,13
SafetyCarGoal1-v0,crpo_td_per,7,0.050059086244255147,-0.3752973689473242,0.667456352228064,27.15,4.5,75.75,0.3626373626373626,58.823510719036086,1.846492526585146,41.58557578674077,9.836699911119906,0.9161963547979084,0.472975749890883,nan,13
SafetyCarGoal1-v0,crpo_uncertainty_per,7,0.04697137381830484,-4.233408337469352,0.4569006359687164,61.75,3.2850000000000006,167.62749999999986,0.3956043956043956,40.234211563801615,4.007904905895157,35.551220085869595,8.790386851715743,0.9123652773899036,0.4598650686688475,nan,13
SafetyCarGoal1-v0,crpo_uniform,7,0.7016603517552286,-0.43658093982789037,1.204425367842358,93.95,40.85,184.2,0.5274725274725275,33.92795212684594,2.707785808177008,33.92795212684594,6.831764332412656,0.9261028111635982,0.4883135164177025,nan,13
SafetyCarGoal1-v0,crpo_vosr,7,-2.9743845361364474,-7.318687181340456,-0.23915349841719444,42.4,1.95,111.9,0.27472527472527475,17.145930317249356,3.0204366363827346,43.97761913661253,13.581991022869465,0.9357904130285913,0.485576087301904,0.5411181397535819,13
SafetyCarGoal1-v0,pcrpo_safety_per,7,-1.2527840031971444,-4.099361667147716,0.606554228147511,63.05,5.85,146.2,0.46153846153846156,85.76322071848173,8.74133853254068,52.73102028116608,13.35426421639698,0.8875876108368674,0.45602166128682564,nan,13
SafetyCarGoal1-v0,pcrpo_td_per,7,0.33721435128574007,-0.6322219837431233,1.242050717592773,13.3,0.9,40.75,0.3516483516483517,34.95973133992073,1.2255602176932798,23.88761416587219,4.366920738227522,0.8942937746152773,0.46934833009164406,nan,13
SafetyCarGoal1-v0,pcrpo_uncertainty_per,7,-1.3131807802826088,-5.177967424849598,0.3918366395225011,53.45,19.5,113.32374999999986,0.4835164835164836,144.78579763954943,26.304868076527693,115.75286457131322,24.59141077654431,0.8981955483719543,0.4745172265466753,nan,13
SafetyCarGoal1-v0,pcrpo_uniform,7,0.2944931284917578,-0.31888623347448763,0.7841685642439575,83.1,15.6,165.65,0.4945054945054945,24.349565168684336,1.3639929358573057,24.349565168684336,6.197820827233934,0.9191211108322983,0.4738381503375022,nan,13
SafetyCarGoal1-v0,pcrpo_vosr,7,-0.9001032516741047,-4.528836830114157,-0.08686637735049421,31.35,7.44625,65.95,0.3186813186813187,9.703604931990814,3.509951957633939,28.17796021924468,7.0049716314681465,0.9227326021089658,0.45890462955275735,0.5499030211118292,13
SafetyCarGoal1-v0,sac_lag_safety_per,7,0.047262665923294804,-2.7025928852852923,0.4502224291676157,25.25,11.1,82.3,0.32967032967032966,87.80114213709908,10.663508446541568,54.264585677472304,18.200898753785292,0.9091315040221583,0.4649818113871983,nan,13
SafetyCarGoal1-v0,sac_lag_td_per,7,0.3325483524715759,-0.10054948170203,0.7056763921783972,67.8,1.8,151.7,0.4395604395604395,127.10400967373222,5.8462036417220045,90.9326275302815,7.292216025787448,0.9021127400817452,0.48082404084258024,nan,13
SafetyCarGoal1-v0,sac_lag_uncertainty_per,7,-1.609096066410223,-6.1408914624433,0.08991133885628692,7.6,2.65,19.3,0.25274725274725274,79.50492433043553,5.981886282284086,66.43835686442209,15.808355342314197,0.9105074510469542,0.4740924854854961,nan,13
SafetyCarGoal1-v0,sac_lag_uniform,7,-2.8421065905381897,-8.047980845159792,-0.13363541585014252,35.05,6.65,78.38374999999981,0.39560439560439564,70.38578965497861,12.515090118512058,70.38578965497861,16.409917861599954,0.9162783570342011,0.46666647739462797,nan,13
SafetyCarGoal1-v0,sac_lag_vosr,7,-1.2573255444153704,-4.305018199785676,-0.6603758910134394,3.45,0.0,27.15,0.2857142857142857,63.88943191170715,18.25563809490642,189.27137172915874,41.55136431525852,0.890926744911697,0.44522126231874737,0.5447426099334295,13
SafetyHalfCheetahVelocity-v1,crpo_safety_per,7,-386.1047579415683,-598.2558200713551,238.1530792430355,0.0,0.0,0.7333333333333333,0.0,766.1797831785113,453099.93857440434,289.3963662730061,14.066906196212406,0.9015566217047828,0.4722940291145018,nan,16
SafetyHalfCheetahVelocity-v1,crpo_td_per,7,-467.20258275736444,-601.9359322306743,0.04414360219743685,0.03333333333333333,0.0,1.6333333333333335,0.0,8494.980064281457,2837291.8627238767,467.62496273999756,15.686823334917145,0.9072452578693628,0.4977367807711874,nan,16
SafetyHalfCheetahVelocity-v1,crpo_uncertainty_per,7,-389.8407969192916,-599.6165271400987,12.89918202951127,0.23333333333333334,0.0,2.7666666666666666,0.0,998.1774094256252,614980.6711389998,629.3576930231594,14.360578167469612,0.8935776312968561,0.4764433785208634,nan,16
SafetyHalfCheetahVelocity-v1,crpo_uniform,7,-550.178171120588,-599.7857502018381,-166.76829225941373,0.0,0.0,0.0,0.0,297.4521329998666,96176.66632134761,297.4521329998666,11.57634481806714,0.9024702566010612,0.5220963736729962,nan,16
SafetyHalfCheetahVelocity-v1,crpo_vosr,7,-596.7992143055696,-601.6780383436806,-195.18796613927535,0.0,0.0,0.0,0.0,36.72288553033411,797.2900277479613,38.721281843350866,11.464359824967687,0.8616617393812963,0.5104891793536288,0.3843374678909606,16
SafetyHalfCheetahVelocity-v1,pcrpo_safety_per,7,-529.4653596009567,-641.2435652965612,-353.6794420234325,0.06666666666666667,0.0,0.9333333333333332,0.0,117.05834450274548,321947.61757914355,87.1759989794607,17.98068701556279,0.9130669334637267,0.5093600052808013,nan,16
SafetyHalfCheetahVelocity-v1,pcrpo_td_per,7,-365.23289462487,-597.5091786555992,6.575452786694211,0.0,0.0,0.0,0.008928571428571428,99.12146905339604,722931.8869665073,51.70726388228913,13.240429064651762,0.9068370174084391,0.48636862369520323,nan,16
SafetyHalfCheetahVelocity-v1,pcrpo_uncertainty_per,7,-491.25645698532634,-601.9762695738077,-122.85992229069048,0.2,0.0,3.2,0.0,59.424730493833735,1072897.6295002897,33.24960668892958,3.7959221914383194,0.908075253878321,0.5281909263825842,nan,16
