env,method,n_seeds,return_iqm,return_lo,return_hi,cost_iqm,cost_lo,cost_hi,violation,sigma_c2,sigma_r2,sigma_c2_uniform,sigma_c2_qstar,xi_mean,xi_ess,ess_frac,eval_points
SafetyAntVelocity-v1,crpo_vosr,7,-2040.6097858053072,-2756.0090194693266,-1201.31827675167,0.2,0.0,0.9333333333333333,0.0,30.5428729571342,599.9562350828668,31.280985366328597,6.643514179800974,0.8113902913672584,0.45801639410534073,0.5055731305523475,16
SafetyAntVelocity-v1,pcrpo_vosr,7,-1476.8403583781296,-2332.0447467820354,-374.17453659587864,0.13333333333333333,0.0,0.4,0.0,21.629950662492266,4313.069700764063,14.283249874389488,4.132858363736994,0.8096594932888236,0.458422246389091,0.5124320060002956,16
SafetyAntVelocity-v1,sac_lag_vosr,7,-2122.190484811589,-3000.769588461946,-736.0126491697082,0.3333333333333333,0.06666666666666667,0.8,0.0,17529.29913757531,733813.2490940343,76473.72598021298,294.20435858670555,0.7733926073248897,0.42025739553251434,0.49488712447936584,16
SafetyCarButton1-v0,crpo_vosr,7,-1.7302462804125205,-3.7604722545224853,-0.30519427819478884,62.6,13.69625,142.2,0.47252747252747257,35.34205963279091,1.811637213481962,108.66334087475683,24.014661434800697,0.8641221064787645,0.4135192563900581,0.5472283743226558,13
SafetyCarButton1-v0,pcrpo_vosr,7,-1.849285651439354,-8.64816597545715,-0.012657538482946751,47.9,13.35,114.55,0.3846153846153846,144.2438467546212,1.5622463967236602,469.4857307765141,94.60529544592683,0.7886641107417726,0.40899261914111756,0.5271959226787934,13
SafetyCarButton1-v0,sac_lag_vosr,7,-4.674520967717208,-8.548620024243082,-0.9652611311290084,44.25,21.7,94.1,0.5384615384615384,1310.6534511353752,23.33141083728778,7130.2100349205275,429.27750023242425,0.782861006456417,0.39820535137103147,0.5059311836675268,13
SafetyCarGoal1-v0,crpo_vosr,7,-3.700046653443878,-10.363808282043752,-0.42744637902710475,21.15,4.545,47.05,0.32967032967032966,9.01503664801726,4.825093617725622,24.050566066307944,5.090625721163572,0.8498765711600965,0.4198052088965426,0.5321702800790491,13
SafetyCarGoal1-v0,pcrpo_vosr,7,-0.9281955579779458,-3.9860362189668357,-0.31109524849082726,10.55,0.0,26.25,0.3516483516483516,19.045945025457197,1.6518697052584528,80.14006673758095,9.810103667790452,0.8645941287606628,0.4284743635536551,0.5380936411012737,13
SafetyCarGoal1-v0,sac_lag_vosr,7,-0.5983886484413447,-2.684367995373613,0.326030605556996,46.25,21.7,146.0,0.37362637362637363,78.53628495266598,13.830055224967467,166.85549754529796,66.53203547948152,0.8817133936253223,0.46106702482307355,0.5434976617000296,13
SafetyHalfCheetahVelocity-v1,crpo_vosr,7,-317.80692222839656,-612.6337773080704,208.16298593941306,0.0,0.0,1.0666666666666667,0.0,1364.4263318589826,855903.5321111121,1354.8298394342853,305.5345850068044,0.9289845105792794,0.5040596196694034,0.4537884272840875,16
SafetyHalfCheetahVelocity-v1,pcrpo_vosr,7,-595.274018133831,-607.2049033643685,-466.79904673888615,0.0,0.0,3.0,0.0,147.32899258519163,143814.10245188785,52.567568445347256,8.470300105740824,0.931045298065458,0.5440037583134004,0.3926586455020481,16
SafetyHalfCheetahVelocity-v1,sac_lag_vosr,7,-298.65160473444865,-595.2855900504471,54.76152985136794,0.0,0.0,4.333333333333334,0.0,3206.9296221031045,78998830.98428202,4783.328458880598,983.034451228284,0.9305799374622958,0.5074390353901046,0.43456453985894206,16
SafetyHopperVelocity-v1,crpo_vosr,7,32.82271434216818,25.997154388725512,42.084288070817806,5.366666666666667,0.0,11.133333333333335,0.0,530883.2640846592,47846.08687444703,2597260.2599533536,200529.16301380045,0.9883220185126577,0.41404709592461586,0.5090343309695499,16
SafetyHopperVelocity-v1,pcrpo_vosr,7,49.25234623601462,20.680729324374987,113.73662448557378,0.8,0.0,6.533333333333334,0.0,2225060.2969334363,464907.12571775215,3487453.3658734565,1229373.0175268915,0.9783113258225578,0.4152186998565282,0.49578156716946176,16
SafetyHopperVelocity-v1,sac_lag_vosr,7,31.478355039969834,16.69046349292418,46.4651666341686,5.166666666666667,0.0,12.534999999999993,0.0,1662721.1817544787,90217.69950446454,7907537.326582013,512050.01110191,0.998786235494273,0.42268172478569405,0.4979808371728719,16
SafetyHumanoidVelocity-v1,crpo_vosr,7,67.9304683891781,61.303421260133234,77.8779122585006,0.0,0.0,0.0,0.0,110379.79896387967,4291130036.46176,136284.21483582197,43090.00884663336,0.9181061807487693,0.38782119578016655,0.5282939495141991,16
SafetyHumanoidVelocity-v1,pcrpo_vosr,7,69.4379618409495,57.60088402932193,88.32962722482169,0.0,0.0,0.0,0.0,1730130.7715471834,12871591314.707134,1491998.2736487533,558748.2585928631,0.8892082391040665,0.3859741995111108,0.5169164238555394,16
SafetyHumanoidVelocity-v1,sac_lag_vosr,7,65.40941395684067,58.301068268208155,75.86312329858242,0.0,0.0,0.0,0.0,316919760589.95233,147429700101.4101,646818819072.6257,191197702726.94318,0.9305247643164226,0.39265258982777596,0.5184225358055795,16
SafetyPointButton1-v0,crpo_vosr,7,-0.5556873668921858,-1.3799417682431208,0.25211986028961425,48.65,22.0,123.65,0.4945054945054945,41.18775425811055,3.128676675876604,89.88977665071351,33.96836935592505,0.8238490485883021,0.41653546052319657,0.5321635478616804,13
SafetyPointButton1-v0,pcrpo_vosr,7,-1.0465766750919667,-2.8428116938453494,-0.32817772521191096,27.2,11.74625,90.65,0.5824175824175823,2.5095392354586346,0.25959455184098806,7.374737834876215,1.568322972525213,0.8664491261754715,0.4122482253299965,0.5401085466259085,13
SafetyPointButton1-v0,sac_lag_vosr,7,-0.7255608624922015,-1.1035721075935387,1.0417587726923683,61.75,29.7,137.5,0.4725274725274726,22.822072733840514,4.9314066736284605,51.90018195297355,19.03853586834089,0.848641371333992,0.41807032155466606,0.5356712593004747,13
SafetyPointGoal2-v0,crpo_vosr,7,-0.9586189942154253,-3.29276083595961,0.3412846213751457,42.1,17.9,88.94999999999945,0.49450549450549447,490.70864718266677,8.482929894401297,1413.7165578456622,379.135714094548,0.9249503311220106,0.47572902696473257,0.5480014588391348,13
SafetyPointGoal2-v0,pcrpo_vosr,7,-0.2831991708748478,-1.6591206602063,0.48433780197771475,38.55,9.45,84.6,0.45054945054945056,765.450382677467,12.592390316788775,1931.7397057207904,612.0137386094653,0.9169065447954032,0.4692587145082244,0.5466688287202609,13
SafetyPointGoal2-v0,sac_lag_vosr,7,0.13057163898787913,-0.27718286440740336,0.38586255635378336,60.5,40.45,82.95,0.47252747252747257,36.73412674829189,1.8827740270910014,129.52956446943435,21.781644867802502,0.9235368895006705,0.4750351350713563,0.5439456667375463,13
SafetyPointPush1-v0,crpo_vosr,7,0.04452474462860255,-0.17080188589044418,0.24861916947027582,4.95,0.0,19.8,0.07692307692307694,18.75839282905147,1.5512303767403124,58.90178761565884,13.097184309563847,0.8596066082571888,0.4607520992611791,0.551954301808225,13
SafetyPointPush1-v0,pcrpo_vosr,7,0.029299326272976833,-0.2571958109221419,0.3785633063250713,3.3,0.0,14.1,0.1208791208791209,6.252326054747248,4.401406304120852,24.96267548764528,3.369511112603003,0.8720647063884106,0.45777192498956415,0.557702122007908,13
SafetyPointPush1-v0,sac_lag_vosr,7,-0.2795406524935248,-1.1135290980049584,0.08696342402584015,0.75,0.0,5.85,0.12087912087912088,4.271720387664312,0.8946253035055111,10.950965911584083,2.283439720212058,0.8798791674467233,0.46890807937789747,0.5620695457537314,13
SafetySwimmerVelocity-v1,crpo_vosr,7,-7.378145693117659,-11.89314567830196,-1.1539589256114982,7.366666666666667,0.9666666666666668,28.53333333333334,0.03571428571428571,5383911.197998102,762641.3067328369,21272543.929675132,2233957.617868844,0.8744257257453033,0.45092763299388544,0.4546155476615659,16
SafetySwimmerVelocity-v1,pcrpo_vosr,7,-7.736222534785878,-9.409216313186652,-5.109792594760513,8.933333333333334,4.333333333333333,78.23333333333332,0.03571428571428571,20809092.046586506,1313159.315035226,63671118.16396003,2803287.30674958,0.9817040722284999,0.546120297429817,0.44746084826369026,16
SafetySwimmerVelocity-v1,sac_lag_vosr,7,-7.9273804821565435,-12.779811492738611,-2.726197291712876,2.3666666666666667,0.0,9.466666666666667,0.026785714285714284,522351.409656763,27963.59321664497,3951876.0232903166,20418.75931068708,1.0215888348008906,0.5787468555250338,0.45479453148365845,16
SafetyWalker2dVelocity-v1,crpo_vosr,7,13.52073482306837,0.2711944841991986,37.59896838152413,0.0,0.0,0.06666666666666667,0.0,186.4754946161209,854967.8448789712,151.48126029436867,50.550149168218596,0.8631173537245819,0.37603543339563267,0.4992071557167129,16
SafetyWalker2dVelocity-v1,pcrpo_vosr,7,119.059413837448,49.25847431397299,204.10410277661398,0.4,0.0,1.8666666666666665,0.0,11516.985795693065,1848077.6709894992,7471.142269697132,2804.3240692325808,0.8838267440774611,0.39810286794922184,0.518180103346019,16
SafetyWalker2dVelocity-v1,sac_lag_vosr,7,60.57213952710756,11.80111443946663,155.21099540310897,0.06666666666666667,0.0,1.9333333333333336,0.0,243561.23998125177,63221798.44093351,358949.2047096879,16840.14337987617,0.8898516888064998,0.40245447693658726,0.48840902258117014,16
